fields,supports,top100,top200,diff
pub2017 <= 7940.00 AND pubTJP2016 <= 43.85,"['0.24', '0.73']",0.24,0.73,-0.49
pub2016 <= 7543.00 AND pubTJP2016 <= 43.85,"['0.22', '0.73']",0.22,0.73,-0.51
cit2017 <= 75794.50 AND h5Index > 91.50,"['0.47', '0.73']",0.47,0.73,-0.26
cit2017 <= 75794.50 AND h5Index > 91.50,"['0.47', '0.73']",0.47,0.73,-0.26
authors2017 <= 7050.50 AND citPA2018 <= 5.45,"['0.24', '0.73']",0.24,0.73,-0.49
pub2016 <= 7543.00 AND pubTJP2016 <= 43.85,"['0.22', '0.73']",0.22,0.73,-0.51
cit2017 <= 75794.50 AND h5Index > 91.50,"['0.47', '0.73']",0.47,0.73,-0.26
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
authors2017 <= 7050.50 AND pubTJP2018 <= 43.25,"['0.20', '0.74']",0.2,0.74,-0.54
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
authors2017 <= 7050.50 AND pubTJP2018 <= 43.25,"['0.20', '0.74']",0.2,0.74,-0.54
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
authors2016 <= 6535.50 AND citPA2016 <= 18.50,"['0.26', '0.74']",0.26,0.74,-0.48
authors2017 <= 7050.50 AND pubTJP2018 <= 43.25,"['0.20', '0.74']",0.2,0.74,-0.54
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
authors2017 <= 7050.50 AND pubTJP2018 <= 43.25,"['0.20', '0.74']",0.2,0.74,-0.54
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
authors2017 <= 7050.50 AND pubTJP2018 <= 43.25,"['0.20', '0.74']",0.2,0.74,-0.54
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
authors2017 <= 7050.50 AND pubTJP2018 <= 43.25,"['0.20', '0.74']",0.2,0.74,-0.54
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
h5Index <= 172.50 AND h5Index > 91.50,"['0.60', '0.74']",0.6,0.74,-0.14
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
authors2017 <= 7050.50 AND fwCitImp2017 <= 2.05,"['0.26', '0.74']",0.26,0.74,-0.48
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
authors2017 <= 7050.50 AND pubTJP2018 <= 43.25,"['0.20', '0.74']",0.2,0.74,-0.54
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
citPP2017 <= 10.15 AND authors2017 <= 6962.50,"['0.27', '0.74']",0.27,0.74,-0.47
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
authors2017 <= 7050.50 AND fwCitImp2017 <= 2.05,"['0.26', '0.74']",0.26,0.74,-0.48
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
cit2018 <= 35720.00 AND pubTJP2016 <= 43.85,"['0.23', '0.74']",0.23,0.74,-0.51
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
authors2017 <= 7050.50 AND pubTJP2018 <= 43.25,"['0.20', '0.74']",0.2,0.74,-0.54
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2017 <= 7940.00 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
authors2017 <= 7050.50 AND pubTJP2018 <= 43.25,"['0.20', '0.74']",0.2,0.74,-0.54
pub2016 <= 7543.00 AND pubTJP2017 <= 43.95,"['0.21', '0.74']",0.21,0.74,-0.53
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
pub2018 <= 8184.50 AND pubTJP2017 <= 43.95,"['0.23', '0.74']",0.23,0.74,-0.51
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
authors2018 <= 6722.50 AND pubPA2018 <= 1.26,"['0.26', '0.75']",0.26,0.75,-0.49
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
authors2018 <= 6722.50 AND pubPA2018 <= 1.26,"['0.26', '0.75']",0.26,0.75,-0.49
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
authors2018 <= 6722.50 AND pubPA2018 <= 1.26,"['0.26', '0.75']",0.26,0.75,-0.49
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2018 <= 35720.00 AND pubTJP2017 <= 43.95,"['0.22', '0.75']",0.22,0.75,-0.53
authors2018 <= 6722.50 AND pubPA2018 <= 1.26,"['0.26', '0.75']",0.26,0.75,-0.49
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
cit2016 <= 107650.00 AND pubTJP2016 <= 43.85,"['0.22', '0.75']",0.22,0.75,-0.53
cit2017 <= 75794.50 AND pubTJP2016 <= 43.85,"['0.24', '0.75']",0.24,0.75,-0.51
authors2017 <= 7050.50 AND citPA2016 <= 18.50,"['0.28', '0.76']",0.28,0.76,-0.48
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
authors2018 <= 6722.50 AND pubPA2016 <= 1.29,"['0.28', '0.77']",0.28,0.77,-0.49
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2016 <= 7543.00 AND pubTJP2018 <= 42.85,"['0.23', '0.77']",0.23,0.77,-0.54
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
pub2017 <= 7940.00 AND pubTJP2018 <= 42.85,"['0.26', '0.78']",0.26,0.78,-0.52
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
fwCitImp2017 <= 2.05 AND pub2017 <= 7647.00,"['0.29', '0.79']",0.29,0.79,-0.5
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
authors2018 <= 6722.50 AND pubTJP2017 <= 47.15,"['0.26', '0.79']",0.26,0.79,-0.53
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
pubTJP2017 <= 47.65 AND authors2018 <= 6731.00,"['0.27', '0.79']",0.27,0.79,-0.52
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
pubTJP2017 <= 47.65 AND authors2018 <= 6731.00,"['0.27', '0.79']",0.27,0.79,-0.52
authors2016 <= 6535.50 AND pubPA2016 <= 1.29,"['0.30', '0.79']",0.3,0.79,-0.49000000000000005
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
authors2018 <= 6722.50 AND pubTJP2017 <= 47.15,"['0.26', '0.79']",0.26,0.79,-0.53
cit2018 <= 35720.00 AND pubTJP2018 <= 42.85,"['0.25', '0.79']",0.25,0.79,-0.54
